x,y,quote
349,20,dem Menschen viel oder wenig Arbeit kostet Bei Betrachtung der
1222,20,oder sonst einer bestimmten produktiven Arbeit Mit dem nützlichen Charakter
1239,21,rakter der in ihnen dargestellten Arbeiten es verschwinden also auch
1249,38,die verschiednen konkreten Formen dieser Arbeiten sie unterscheiden sich nicht
1262,53,allzusammt reducirt auf gleiche menschliche Arbeit abstrakt menschliche Arbeit Betrachten
1265,73,gleiche menschliche Arbeit abstrakt menschliche Arbeit Betrachten wir nun das
1289,76,eine bloße Gallerte unterschiedsloser menschlicher Arbeit d h der Verausgabung
1317,74,Produktion menschliche Arbeitskraft verausgabt menschliche Arbeit aufgehäuft ist Als Krystalle
1419,20,einen Werth weil abstrakt menschliche Arbeit in ihm vergegenständlicht oder
1504,20,Ware hältenen werthbildenden Substanz der Arbeit Die Quantität der Arbeit
1508,38,der Arbeit Die Quantität der Arbeit selbst mißt sich an
1570,21,zu ihrer Verfertigung braucht Die Arbeit jedoch welche die Substanz
1581,38,Werthe bildet ist gleiche menschliche Arbeit Verausgabung derselben menschlichen Arbeitskraft
1618,41,Arbeitskräften besteht Jede dieser individuellen Arbeits 1 6 kräfte ist
1687,20,von Geschick und Intensität der Arbeit darzustellen Nach der Einführung
1703,36,genügte vielleicht halb so viel Arbeit als vorher um ein
1763,20,nur das Quantum gesellschaftlich nothwendiger Arbeit oder die zur Herstellung
1798,27,sind oder die in derselben Arbeits 9 Note zur 2
1859,20,nothwendig erheischten und gewöhnlich angewandten Arbeit Some Thoughts on the
2019,20,Wechsel in der Produktivkraft der Arbeit Die Produktivkraft der Arbeit
2023,37,der Arbeit Die Produktivkraft der Arbeit ist durch mannigfache Umstände
2037,52,den Durchschnittsgrad des Geschickes der Arbeiter die Entwicklungsstufe der Wissenschaft
2063,59,und durch Naturverhältnisse Dasselbe Quantum Arbeit stellt sich z B
2083,65,in nur 4 Dasselbe Quantum Arbeit liefert mehr Metalle in
2119,62,sie in wenig Volumen viel Arbeit dar Jacob bezweifelt daß
2164,52,erreicht obgleich sie viel mehr Arbeit darstellte also mehr Werth
2188,57,sinken Gelingt es mit wenig Arbeit Kohle in Diamant zu
2209,64,Je größer die Produktivkraft der Arbeit desto kleiner die zur
2236,66,je kleiner die Produktivkraft der Arbeit desto größer die zur
2270,63,der sich in ihr verwirklichenden Arbeit Ein Ding kann Gebrauchswerth
2293,66,für den Menschen nicht durch Arbeit vermittelt ist So Luft
2314,71,kann nützlich und Produkt menschlicher Arbeit sein ohne Waare zu
2382,37,auch die in ihm enthaltene Arbeit nutzlos zählt nicht als
2387,54,Arbeit nutzlos zählt nicht als Arbeit und bildet da 5
2402,68,der in den Waaren dargestellten Arbeit Ursprünglich erschien uns die
2420,76,zeigte sich daß auch die Arbeit soweit sie im Werth
2448,74,der in der Waare enthaltenen Arbeit ist zuerst von mir
2541,20,Gegenstand Mittel und Resultat Die Arbeit deren Nützlichkeit sich so
2563,33,ist nennen wir kurzweg nützliche Arbeit Unter diesem Gesichtspunkt wird
2590,43,sind die ihr Dasein vermittelnden Arbeiten qualitativ verschieden Schneiderei und
2609,53,daher Produkte qualitativ verschiedner nützlicher Arbeiten so könnten sie sich
2654,46,Familie Unterart Varietät verschiedner nützlicher Arbeiten 35 eine gesellschaftliche Theilung
2660,63,35 eine gesellschaftliche Theilung der Arbeit Sie ist Existenzbedingung 9
2695,62,Geld sehen Gemeinde ist die Arbeit gesellschaftlich getheilt ohne daß
2715,67,in jeder Fabrik ist die Arbeit systematisch getheilt aber diese
2726,80,nicht dadurch vermittelt daß die Arbeiter ihre individuellen Produkte austauschen
2761,73,zweckmäßig produktive Thätigkeit oder nützliche Arbeit Gebrauchswerthe können sich nicht
2774,82,wenn nicht qualitativ verschiedne nützliche Arbeiten in ihnen stecken In
2803,79,dieser qualitative Unterschied der nützlichen Arbeiten welche unabhängig von einander
2823,81,zu einer gesellschaftlichen Theilung der Arbeit Dem Rock ist es
2859,72,Rock und der ihn producirenden Arbeit an und für sich
2878,76,Glied der gesellschaftlichen Theilung der Arbeit Wo ihn das Kleidungsbedürfniß
2935,52,Bildnerin von Gebrauchswerthen als nützliche Arbeit ist die Arbeit daher
2938,70,als nützliche Arbeit ist die Arbeit daher eine von allen
2980,63,von zwei Elementen Naturstoff und Arbeit Zieht man die Gesammtsumme
2988,77,die Gesammtsumme aller verschiedenen nützlichen Arbeiten ab die in 10
3039,60,ändern13 Noch mehr In dieser Arbeit der For 13 Tutti
3097,38,er beständig unterstützt von Naturkräften Arbeit ist also nicht die
3113,50,Gebrauchswerthe des stofflichen Reichthums Die Arbeit ist sein Vater wie
3205,20,gleicher Substanz objektive Ausdrücke gleichartiger Arbeit Aber Schneiderei und Weberei
3213,37,und Weberei sind qualitativ verschiedne Arbeiten Es giebt jedoch Gesellschaftszustände
3233,49,Arbeitsweisen daher nur Modifikationen der Arbeit desselben Individuums und noch
3264,53,macht nur Variationen derselben individuellen Arbeit voraussetzen Der Augenschein lehrt
3286,59,Arbeitsnachfrage eine gegebene Portion menschlicher Arbeit abwechselnd in der Form
3305,66,zugeführt wird Dieser Formwechsel der Arbeit mag nicht ohne Friction
3330,68,daher vom nützlichen Charakter der Arbeit so bleibt das an
3370,60,in diesem Sinn beide menschliche Arbeit Es sind nur zwei
3408,56,der Waare aber stellt menschliche Arbeit schlechthin dar Verausgabung menschlicher
3413,73,Arbeit schlechthin dar Verausgabung menschlicher Arbeit überhaupt Wie nun in
3549,20,auch hier mit der menschlichen Arbeit Sie ist Verausgabung einfacher
3591,22,einer vorhandnen Gesellschaft gegeben Komplicirtere Arbeit gilt nur als potenzine
3600,39,potenzine oder vielmehr multiplicirte einfache Arbeit so daß ein kleineres
3607,58,daß ein kleineres Quantum komplicirter Arbeit gleich einem größeren Quantum
3613,77,gleich einem größeren Quantum einfacher Arbeit Daß diese Reduktion beständig
3631,85,Pro 10 dukt der komplicirtesten Arbeit sein ihr Werth setzt
3640,101,setzt sie dem Produkt einfacher Arbeit gleich und stellt daher
3651,116,nur ein bestimmtes Quantum einfacher Arbeit dar15 Die verschiednen Proportionen
3661,132,worin verschiedne Arbeitsarten auf einfache Arbeit als ihre Maßeinheit reducirt
3729,75,abstrahirt ist so in den Arbeiten die sich in diesen
3780,54,die in diesen Werthen enthaltenen Arbeiten nicht durch ihr produktives
3836,36,Qualität besitzen die Qualität menschlicher Arbeit Rock und Leinwand sind
3880,34,Leinwand nur halb so viel Arbeit ent 14 Vgl Hegel
3910,42,die Rede ist den der Arbeiter für etwa einen Arbeitstag
3979,20,in der Waare enthal tene Arbeit nur qualitativ gilt gilt
3997,35,nachdem sie bereits auf menschliche Arbeit ohne weitere Qualität reducirt
4013,48,das Wie und Was der Arbeit hier um ihr Wie
4033,58,Quantum der in ihr enthaltenen Arbeit darstellt müssen Waaren in
4057,62,Produktion eines Rocks erheischten nützlichen Arbeiten unverändert so steigt die
4092,59,Produktion eines Rocks noth wendige Arbeit steige auf das Doppelte
4147,41,die in ihm enthaltene nützliche Arbeit nach wie vor von
4222,20,aus dem zwieschlächtigen Charakter der Arbeit Produktivkraft ist natürlich stets
4230,37,natürlich stets Produktivkraft nützlicher konkreter Arbeit und bestimmt in der
4247,51,in gegebnem Zeitraum Die nützliche Arbeit wird daher rei chere
4274,56,Produktivkraft die im Werth dargestellte Arbeit an und für sich
4289,66,der konkreten nützlichen Form der Arbeit angehört kann sie natürlich
4295,84,angehört kann sie natürlich die Arbeit nicht mehr berühren sobald
4309,97,liehen Form abstrahirt wird Dieselbe Arbeit ergiebt daher in denselben
4349,80,Produktivkraft der die Fruchtbarkeit der Arbeit und daher die Masse
4387,68,ab kürzt Ebenso umgekehrt Alle Arbeit ist einerseits Verausgabung menschlicher
4405,74,gleicher menschlicher oder abstrakt menschlicher Arbeit bildet sie den Waaren
