x,y,quote
11,20,Kapitals ERSTER ABSCHNITT Waare und Geld 5 ERSTES KAPITEL Die
179,20,63 Erster Abschnitt Ware und Geld 2 nicht darum wie
1098,20,bring Erster Abschnitt Ware und Geld existirt keine Verschiedenheit oder
1945,20,893 Erster Abschnitt Ware und Geld zeit hergestellt werden können
2690,20,passim Erster Abschnitt Ware und Geld sehen Gemeinde ist die
3530,20,22 Erster Abschnitt Ware und Geld große der Mensch schlechthin
4371,20,Gesammtmasse Erster Abschnitt Ware und Geld wenn er die Summe
5191,20,verschiedenen Erster Abschnitt Ware und Geld Waaren die der Werthausdruck
5992,20,des Erster Abschnitt Ware und Geld Es genügt indeß nicht
6868,20,Mensch Erster Abschnitt Ware und Geld Werthverhältniß der Waare A
7808,20,ist Erster Abschnitt Ware und Geld 23 3 Die Aequivalentform
8607,20,bezo Erster Abschnitt Ware und Geld gen ist21 Da aber
8678,20,Form ihm fertig gegenübertritt im Geld Dann sucht er den
9202,20,Polster so und so viel Geld a p te a
9409,20,Arbeit Erster Abschnitt Ware und Geld Daß aber in der
9829,20,Aequivalentform der Waare die im Geld ihre fertige Gestalt besitzt
10192,20,1821 Erster Abschnitt Ware und Geld einer andren Waare So
10995,20,an Erster Abschnitt Ware und Geld dren Waare verschiedne endlose
11678,20,gewinnt Erster Abschnitt Ware und Geld nur allgemeinen Werthausdruck weil
12418,20,unmit Erster Abschnitt Ware und Geld Umgekehrt ist die Waare
12640,20,zur Geldwaare oder funktionirt als Geld Es wird ihre specifisch
12974,20,den andren Waaren nur als Geld gegenüber weil es ihnen
13154,20,II Erster Abschnitt Ware und Geld die entfaltete Werthform und
13953,20,Austausch Erster Abschnitt Ware und Geld ihrer Arbeitsprodukte erscheinen auch
14712,20,1803 Erster Abschnitt Ware und Geld lung der Arbeit allseitig
15527,20,39 Erster Abschnitt Ware und Geld Gestalt anzunehmen Sie gehn
16336,20,Knecht Erster Abschnitt Ware und Geld Schaftsverhältnissen Sie sind bedingt
17138,20,kunterbuntesten und widersprechendsten Vorstellungen von Geld d h der fertigen
17164,20,mit den gemeinplätzlichen Definitionen des Geldes nicht mehr ausgereicht wird
17548,20,meiner Erster Abschnitt Ware und Geld 52 Wie sehr ein
17675,20,nicht an daß sie als Geld ein gesellschaftliches Produktionsverhältniß darstellen
18486,20,auf Erster Abschnitt Ware und Geld sen die Waarenhüter sich
19371,20,ausgeschlossenen Waare So wird sie Geld Uli unum consilium habent
19385,22,suam Erster Abschnitt Ware und Geld bestiae tradunt Et ne
19480,20,der Waare in Waare und Geld In demselben Maße daher
19704,20,und zugleich den Gegensatz von Geld und Waare also das
19709,35,Geld und Waare also das Geld selbst denn es ist
20164,20,sollicitirt Erster Abschnitt Ware und Geld Die Menschen haben oft
20276,20,und Silber nicht von Natur Geld Geld 60 von Natur
20277,40,Silber nicht von Natur Geld Geld 60 von Natur Gold
20303,50,nur die eine Funktion des Geldes als Erscheinungsform des Waarenwerths
20432,20,Waaren nur besondre Aequivalente des Geldes das Geld ihr allgemeines
20434,38,besondre Aequivalente des Geldes das Geld ihr allgemeines Aequivalent verhalten
20446,55,als besondre Waaren zum 30 Geld als der allgemeinen Waare44
20470,61,Beziehungen aller andren Waaren Daß Geld Waare ist45 ist also
20617,20,der Waare die er in Geld verwandelt nicht ihren Werth
20643,31,für imaginär zu halten46 Weil Geld in be5 stimmten Funktionen
20867,20,seiner Qualitäten die es zum Geld geeignet machten einen imaginären
20926,20,Werth durch seine Bestimmung als Geld erhielt es einen zuschüssigen
21090,20,die Juristen die Vorstellung von Geld als bloßem Zeichen und
21206,20,45 war ausdrücklich verboten das Geld als Waare zu behandeln
21263,20,Juristen Erster Abschnitt Ware und Geld chen erklärt man sie
21323,20,einschließt Weiß man daß Gold Geld daher mit allen andren
21351,31,Wie jede Waare kann das Geld seine eigne Werthgröße nur
21405,22,unmittelbarem Tauschhandel Sobald es als Geld in die Cirkula 15
21436,32,der Geldanalyse zu wissen daß Geld Waare ist so aber
21453,45,nicht darin zu begreifen daß Geld Waare sondern wie warum
21460,63,sondern wie warum wodurch Waare Geld ist49 20 Wir sahen
21630,20,belehrt Die falschen Definitionen von Geld lassen sich in zwei
21694,20,Nationalökonomen die Eigenthümlichkeiten welche das Geld von andren Waaren unterscheiden
21767,20,ihm jedoch geschuldet nämlich daß Geld eine angenehme Waare ist
21776,37,ist 45 Drittes Kapitel Das Geld oder die Warenzirkulation oder
21790,52,Eine Waare scheint nicht erst Geld zu werden weil die
21815,58,in ihr darzustellen weil sie Geld ist Die vermittelnde Bewegung
21875,36,Arbeit Daher die Magie des Geldes Das bloß 10 atomistische
21936,20,des Waarenfetischs DRITTES KAPITEL Das Geld oder die Waarencirkulation 1
22007,20,Gold die specifische Aequivalentwaare zunächst Geld Die Waaren werden nicht
22014,37,Waaren werden nicht durch das Geld kommensurabel Umgekehrt Weil alle
22052,41,in ihr gemeinschaftliches Werthmaß oder Geld verwandeln Geld als Werthmaß
22054,60,gemeinschaftliches Werthmaß oder Geld verwandeln Geld als Werthmaß ist nothwendige
22072,71,50 Die Frage warum das Geld nicht unmittelbar die Arbeitszeit
22110,65,darstellen Erster Abschnitt Ware und Geld 65 Der Werthausdruck einer
22121,76,in Gold Waare A y Geld waare ist ihre Geldform
22175,56,Gold bereits den Charakter von Geld besitzt Die allgemeine relative
22242,24,man findet die Werthgröße des Geldes in allen möglichen Waaren
22248,43,in allen möglichen Waaren dargestellt Geld hat dagegen keinen Preis
22423,20,B das Owensche Arbeitsgeld ebensowenig Geld ist wie etwa eine
22626,20,er 45 Drittes Kapitel Das Geld oder die Warenzirkulation in
22692,20,Function des Werthmaßes dient das Geld daher als nur vorgestelltes
22699,38,als nur vorgestelltes oder ideelles Geld Dieser Umstand hat die
