x,y,quote
6,20,ERSTES BUCH Der Produktionsproceß des Kapitals ERSTER ABSCHNITT Waare und
17710,20,nicht handgreiflich sobald sie das Kapital behandelt Seit wie lange
38904,20,schon bekannten Form des Kaufmittels Kapital wird natürlich auch in
39229,20,Krisen deren Bewegungscentrum das Geld Kapital ist und daher Bank
42043,20,Kapitel Verwandlung von Geld in Kapital 120 ZWEITER ABSCHNITT Die
42052,20,Die Verwandlung von Geld in Kapital VIERTES KAPITEL Verwandlung von
42059,38,KAPITEL Verwandlung von Geld in Kapital 5 1 Die allgemeine
42066,57,1 Die allgemeine Formel des Kapitals Die Waarencirkulation ist der
42073,75,Waarencirkulation ist der Ausgangspunkt des Kapitals Waarenproduktion und entwickelte Waarencirkulation
42099,76,die moderne Lebensgeschichte des 10 Kapitals Sehn wir ab vom
42144,62,die erste 15 Erscheinungsform des Kapitals Historisch tritt das Kapital
42148,80,des Kapitals Historisch tritt das Kapital dem Grundeigenthum überall zunächst
42174,81,Rückblicks auf die Entstehungsgeschichte des Kapitals um das Geld als
42195,84,vor unsren Augen Jedes neue Kapital betritt in erster Instanz
42221,81,sich durch bestimmte Processe in Kapital verwandeln soll 11211 Geld
42231,95,als Geld und Geld als Kapital unterscheiden sich zunächst 25
42345,20,Die Verwandlung von Geld in Kapital in seiner Bewegung diese
42356,36,Cirkulation beschreibt verwandelt sich in Kapital wird Kapital und ist
42358,56,verwandelt sich in Kapital wird Kapital und ist schon seiner
42365,75,ist schon seiner Bestimmung nach Kapital Sehn wir uns die
42814,20,Kapitel Verwandlung von Geld in Kapital scheidet ist die umgekehrte
42840,26,die Cirkulation des Geldes als Kapital beginnt mit dem Kauf
43146,20,der Cirkulation des Geldes als Kapital und seiner Cirkulation als
43282,20,Die Verwandlung von Geld in Kapital mehr mit ihnen zu
43753,20,nur des Handelskapitals sondern alles Kapitals ist giebt er wenigstens
43796,20,Kapitel Verwandlung von Geld in Kapital summe 125 überhaupt nur
43930,20,diese Bewegung verwandelt ihn in Kapital Es ist zwar auch
44135,20,ihrer Rolle Sie hörten auf Kapital zu sein Der Cirkulation
44286,20,Die Verwandlung von Geld in Kapital thung von 110 Pfd
44474,20,Die Cirkulation des Geldes als Kapital ist dagegen Selbstzweck denn
44493,33,erneuerten Bewegung Die Bewegung des Kapitals ist daher maßlos6 20
44500,50,daher maßlos6 20 5 Das Kapital theilt sich in das
44506,69,theilt sich in das ursprüngliche Kapital und den Gewinn den
44513,88,den Gewinn den Zuwachs des Kapitals obwohl die Praxis selbst
44523,105,diesen Gewinn sogleich wieder zum Kapital schlägt und mit diesem
44867,20,Kapitel Verwandlung von Geld in Kapital 11281 Als bewußter Träger
44930,20,mit Willen und Bewußtsein begabtes Kapital Der Gebrauchswerth ist also
45380,20,Die Verwandlung von Geld in Kapital ständig aus der einen
45426,20,so erhält man die Erklärungen Kapital ist Geld Kapital ist
45429,39,die Erklärungen Kapital ist Geld Kapital ist Waare12 In der
45612,20,wird 20 das Geld nicht Kapital Das Geld tritt hier
45777,20,die vorgeschossenen 100 Pfd St Kapital und sobald sie dieß
45858,20,Kapitel Verwandlung von Geld in Kapital solches Kapital Er kommt
45860,39,von Geld in Kapital solches Kapital Er kommt aus der
45903,39,money lautet die Beschreibung des Kapitals 5 im Munde seiner
45932,46,zwar nur einer Art des Kapitals dem Kaufmannskapital eigenthümliche Form
45941,61,Form Aber auch das industrielle Kapital ist Geld das sich
45983,56,der Bewegung In dem zinstragenden Kapital endlich stellt sich die
46034,42,G die allgemeine Formel des Kapitals wie es unmittelbar in
46054,52,worin sich das Geld zum Kapital entpuppt wider 20 spricht
46219,20,Waare keiner von beiden als Kapital oder Kapitalist oder 35
46249,29,der Waare ausüben könnte 13 Kapital permanenter sich vervielfältigender Werth
46272,41,Die Verwandlung von Geld in Kapital Für mich bilden Kauf
46759,20,Kapitel Verwandlung von Geld in Kapital besitzt handelt mit einem
47228,20,Die Verwandlung von Geld in Kapital erscheint als Verletzung des
47729,20,Kapitel Verwandlung von Geld in Kapital z B fügt den
48185,20,Die Verwandlung von Geld in Kapital kaufen was durchaus dasselbe
48309,20,die Verwandlung von Geld in Kapital kann also weder dadurch
48384,20,Portion von allen Ingredienzien des Kapitals zu 20 geben als
48670,20,Kapitel Verwandlung von Geld in Kapital Die konsequenten Vertreter der
48959,20,gemacht und seine Waare in Kapital verwandelt Sehn wir näher
49154,20,Die Verwandlung von Geld in Kapital lende Form des Austauschs
49273,20,unsrer Analyse der Grundform des Kapitals der Form worin es
49342,20,die Verwandlung von Geld in Kapital die Bildung von Mehrwerth
49666,20,Kapitel Verwandlung von Geld in Kapital diesem Sinn sagt Franklin
49682,31,Soll die Verwertung des Handels11141 kapitals nicht aus bloßer Prellerei
49912,20,Handelskapital werden wir das zinstragende Kapital im Verlauf unsrer Untersuchung
49932,32,vor der modernen Grundform des Kapitals erscheinen Es hat sich
50083,20,Die Verwandlung von Geld in Kapital aus in der Werthgröße
50251,20,daher Geld oder Waare in Kapital verwandle 15 Kapital kann
50254,37,Waare in Kapital verwandle 15 Kapital kann also nicht aus
50295,39,Die Verwandlung des Geldes in Kapital ist auf Grundlage dem
50564,20,Kapitalbildung so stellen Wie kann Kapital entstehn bei der Reglung
50615,20,Kapitel Verwandlung von Geld in Kapital 3 Kauf und Verkauf
50629,36,des Geldes das sich in Kapital verwandeln soll kann nicht
50998,20,in der antiken Welt das Kapital völlig entwickelt war außer
51034,22,Die Verwandlung von Geld in Kapital einander als ebenbürtige Waarenbesitzer
51529,20,Kapitel Verwandlung von Geld in Kapital Zur Verwandlung von Geld
51535,30,Zur Verwandlung von Geld in Kapital muß der Geldbesitzer also
51927,20,Die Verwandlung von Geld in Kapital chen Produktionsprocesses Dennoch genügt
51946,30,dieser Formen Anders mit dem Kapital Seine historischen Existenzbedingungen sind
51990,30,Bedingung umschließt eine Weltgeschichte Das Kapital kündigt daher von vorn
52358,20,Kapitel Verwandlung von Geld in Kapital dividuum in seinem normalen
52501,20,kontinuirliche Verwandlung von Geld in Kapital voraussetzt so muß der
52772,20,Die Verwandlung von Geld in Kapital Lebensmittel d h der
53031,20,Verwandlung 25 seiner Thaler in Kapital erpichte Geldbesitzer diesen Werth
53188,20,Kapitel Verwandlung von Geld in Kapital gleich Arbeiter und Subsistenzmittel
53672,20,Die Verwandlung von Geld in Kapital Natur des Waarenaustauschs selbst
54311,20,Kapitel Verwandlung von Geld in Kapital tionsproceß der Arbeitskraft Alle
54417,20,zeigen nicht nur wie das Kapital producirt sondern auch wie
54427,36,man es selbst producirt das Kapital Das Geheimniß der Plusmacherei
54634,20,Urtheil über die Gesellschaft des Kapitals und der Lohnarbeit entlehnt
57554,20,Unterordnung der Arbeit unter das Kapital kann sich erst später
57586,20,des Wilden den Ursprung des Kapitals In dem ersten Stein
57638,20,entdecken so den Ursprung des Kapitals R Torrens An Essay
57668,30,stock im Englischen synonym mit Kapital ist Fünftes Kapitel Arbeitsprozeß
57991,20,sind appropriirt bevor sie in Kapital verwandelt werden diese Verwandlung
58112,20,Kapitalist Eigenthümer nicht nur des Kapitals meint hier die Produktionsmittel
58138,31,dies gebräuchlich in den Begriff Kapital einschließt ist es abgeschmackt
58148,47,von der Arbeit getrennt vom Kapital zu sprechen Das Wort
58153,66,Kapital zu sprechen Das Wort Kapital in diesem Sinn schließt
58160,85,diesem Sinn schließt beides ein Kapital und Arbeit Dritter Abschnitt
59879,20,dem Werth 5 des vorgeschossenen Kapitals Der vorgeschossene Werth hat
59895,20,Geld sich also nicht in Kapital verwandelt Der Preis der
60301,20,er 1844 47 Theil seines Kapitals dem produktiven Geschäft um
61460,20,endlich gelungen Geld ist in Kapital verwandelt Alle Bedingungen des
61589,20,die Verwandlung seines Geldes in Kapital geht in der Cirkulationssphäre
61733,20,40 Punkt wo der vom Kapital gezahlte Werth der Arbeitskraft
62843,20,die Annahme daß der vom Kapital verwandte Arbeiter einfache gesellschaftliche
62855,20,schnittsarbeit verrichtet SECHSTES KAPITEL Konstantes Kapital und variables Kapital Die
62858,39,KAPITEL Konstantes Kapital und variables Kapital Die verschiednen Faktoren des
63243,20,22 23 Sechstes Kapitel Konstantes Kapital und variables Kapital eines
63246,34,Kapitel Konstantes Kapital und variables Kapital eines bestimmten Quantums von
64081,20,mehr Pfunde Sechstes Kapitel Konstantes Kapital und variables Kapital Baumwolle
64084,28,Kapitel Konstantes Kapital und variables Kapital Baumwolle in derselben Arbeitszeit
64935,20,Lebensversicherungsgesellschaften je Sechstes Kapitel Konstantes Kapital und variables Kapital doch
