x,y,quote
9,20,Produktionsproceß des Kapitals ERSTER ABSCHNITT Waare und Geld 5 ERSTES
16,38,Geld 5 ERSTES KAPITEL Die Waare 1 Die zwei Factoren
22,57,1 Die zwei Factoren der Waare Gebrauchswerth und Werth Werthsubstanz
47,63,ungeheure Waarensammlung 1 die einzelne Waare als seine Elementarform Unsere
59,75,daher mit der Analyse der Waare Die Waare ist zunächst
61,94,der Analyse der Waare Die Waare ist zunächst ein äußerer
375,20,s w Die Gebrauchswerthe der Waaren liefern das Material einer
695,20,und rein Relatives ein der Waare innerlicher immanenter Tauschwerth valeur
713,31,die Sache näher Eine gewisse Waare ein Quarter Weizen z
736,43,s w kurz mit andern Waaren in den verschiedensten Proportionen
792,29,erstens Die gültigen Tauschwerthe derselben Waare drücken ein Gleiches aus
818,39,sein Nehmen wir ferner zwei Waaren z B Weizen und
963,20,Ebenso sind die Tauschwerthe der Waaren zu reduciren auf ein
989,31,oder sonstige natürliche Eigenschaft der Waaren sein Ihre körperlichen Eigenschaften
1021,39,Gebrauchswerthen was das Austauschverhältniß der Waaren augenscheinlich charakterisirt Innerhalb desselben
1115,20,8 Als Gebrauchswerthe sind die Waaren vor allem verschiedner Qualität
1334,20,Werthe Waarenwerthe Im Austauschverhältniß der Waaren selbst erschien uns ihr
1374,22,im Austauschverhältniß oder Tauschwerth der Waare darstellt ist also ihr
1539,20,daß wenn der Werth einer Waare durch das wäh rend
1559,33,ein Mann desto werthvoller seine Waare weil er desto mehr
1650,20,also in der Produktion einer Waare auch nur die im
1779,20,seine Werthgröße bestimmt9 Die einzelne Waare gilt hier überhaupt als
1787,36,überhaupt als Durchschnittsexemplar ihrer Art10 Waaren worin gleich große Arbeitsquanta
1957,20,dieselbe Werthgröße Der Werth einer Waare verhält sich zum Werth
1964,36,sich zum Werth jeder andren Waare wie die zur Produktion
1986,48,Arbeitszeit Als Werthe sind alle Waaren nur bestimmte Maße festgeronnener
1997,62,11 7 Die Werthgröße einer Waare bliebe daher konstant wäre
2253,20,sein Werth Die Werthgröße einer Waare wechselt also direkt wie
2317,20,Produkt menschlicher Arbeit sein ohne Waare zu sein Wer durch
2333,36,schafft zwar Gebrauchswerth aber nicht Waare Um Waare zu produciren
2335,55,Gebrauchswerth aber nicht Waare Um Waare zu produciren n K
2400,31,2 Doppelcharakter der in den Waaren dargestellten Arbeit Ursprünglich erschien
2407,48,Arbeit Ursprünglich erschien uns die Waare als ein Zwieschlächtiges Gebrauchswerth
2446,48,zwieschlächtige Natur der in der Waare enthaltenen Arbeit ist zuerst
2481,49,werden 15 Nehmen wir zwei Waaren etwa einen Rock und
2617,20,sie sich überhaupt nicht als Waaren gegenübertreten 30 Rock tauscht
2703,20,ohne daß die Produkte zu Waaren werden Oder ein näher
2742,24,unabhängiger Privatarbeiten treten einander als Waaren gegenüber Man hat also
2752,41,gesehn in dem Gebrauchswerth jeder Waare steckt eine bestimmte zweckmäßig
2767,55,Gebrauchswerthe können sich nicht als Waaren gegenübertreten wenn nicht qualitativ
2787,63,Produkte allgemein die Form der Waare annehmen d h in
3131,20,Gehn wir nun von der Waare so weit sie Gebrauchsgegenstand
3138,33,weit sie Gebrauchsgegenstand über zum Waaren Werth Nach unsrer Unterstellung
3404,20,zu werden Der Werth der Waare aber stellt menschliche Arbeit
3623,20,vorgeht zeigt die Erfahrung Eine Waare mag das Pro 10
3976,20,den Gebrauchswerth die in der Waare enthal tene Arbeit nur
4025,20,Zeitdauer Da die Werthgröße einer Waare nur das Quantum der
4036,37,ihr enthaltenen Arbeit darstellt müssen Waaren in gewis ser Proportion
4409,20,menschlicher Arbeit bildet sie den Waaren Werth Alle Arbeit ist
4442,24,Die Werthform oder der Tauschwerth Waaren kommen zur Welt in
4473,33,Naturalform Sie sind jedoch nur Waaren weil Doppeltes Ge brauchsgegenstände
4486,47,Sie erscheinen daher nur als Waaren oder besitzen nur die
4493,65,besitzen nur die Form von Waaren sofern sie Doppelform besitzen
4505,80,Werthform 15 Die Werthgegenständlichkeit der Waaren unterscheidet sich dadurch von
