hit,kapital,fix,angewandt,verausgabt,nachfrag,variabl,neu,jahrlich,verlieh,konstant,preis,erhalt,umschlag,produktiv,imm,erst,kostet,klass,zweit,war
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0
8,58,0,0,0,0,0,3,0,0,0,0,0,0,0,3,12,0,0,1,0
9,97,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,0,0,0,0
10,154,0,0,0,0,0,5,0,0,0,0,0,0,0,5,7,0,0,3,0
11,321,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,4,0
12,655,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,5,0
13,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0
14,2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0
15,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0
16,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
17,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
18,672,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,12,0
19,339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0
20,172,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0
21,89,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
23,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,146,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
30,229,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
31,235,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
32,120,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0
33,63,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
34,69,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
35,75,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
36,81,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
37,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
41,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
42,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
45,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0
46,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
