hit,erst,kapital,relativ,absolut,verausgabt,preis,beid,setz,fremd,gegeb,fall,gewiss,kraft,gross,steigt,konstant,fix,besteht,zeit,vermehrt
1,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,10,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,3,0,8,8,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
5,1,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7,0,4,3,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0,2,1,1,0,6,1,0,0,0,0,0,0,6,3,0,0,0,0,0
9,0,1,0,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0
10,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,0,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
19,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
20,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,4,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
22,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0
24,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
25,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
26,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,12,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,18,16,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,24,22,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0
30,30,11,0,0,6,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0
31,36,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,42,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,48,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,54,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,60,1,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0
36,99,7,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0
37,105,3,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0
38,111,4,0,0,0,0,6,9,0,1,0,0,0,0,1,0,0,0,0,0
39,117,5,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0
40,123,11,0,0,0,0,1,5,0,0,6,0,0,0,0,0,0,0,0,0
41,129,5,0,0,0,0,3,2,0,0,3,0,0,0,0,3,0,0,0,0
42,135,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
43,141,4,0,9,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0
44,147,2,0,4,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
