hit,kapital,bildet,neu,variabl,taglich,absolut,produktiv,gesellschaft,angewandt,gleich,industriell,fall,angeeignet,verausgabt,einzig,ganz,verzehrt,einzeln,worin,jahrlich
1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
9,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
10,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0
26,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
31,13,0,4,4,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0
32,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
33,12,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,18,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
35,12,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
36,6,0,0,2,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0
37,6,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,3,0,0,0
38,6,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,0
39,12,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0
40,27,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,16,0,0,21,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,0
42,8,6,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0
43,7,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,6,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,15,0,0,11,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0
48,21,0,0,17,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0
49,10,0,0,8,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
50,5,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
52,11,3,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,8,1,0,5,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
54,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0
56,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0
57,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,1,0,0,0
58,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0
59,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0
60,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0
61,0,3,0,2,0,6,0,0,0,1,0,0,0,0,0,1,0,0,5,0
62,9,1,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0
63,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
64,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,17,0,0,9,18,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
67,23,0,0,15,48,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0
68,29,0,0,21,108,0,0,0,4,5,0,0,0,0,0,0,0,10,0,0
69,17,0,0,13,171,0,0,0,5,5,0,0,0,0,0,0,0,16,0,0
70,8,0,0,9,88,0,0,0,5,11,0,0,0,0,0,0,0,22,0,0
71,7,0,0,15,47,0,0,0,2,5,0,0,0,0,0,0,0,42,0,0
72,3,0,0,7,23,0,0,0,4,2,0,0,0,0,0,0,0,21,0,0
73,4,0,0,6,11,0,0,0,2,1,0,0,0,0,0,0,0,10,0,0
74,10,0,0,12,8,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
75,16,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
76,22,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,11,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,5,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,5,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
80,11,0,0,7,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
81,17,0,0,13,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
82,11,0,0,9,3,0,0,0,1,0,0,0,0,0,0,3,0,6,0,0
83,5,0,0,4,4,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0
84,5,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
85,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
87,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
88,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
93,3,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0
94,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
95,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
96,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0
103,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
104,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0
107,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
112,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
113,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0
121,3,0,0,0,0,4,6,0,1,0,0,0,0,0,0,1,0,3,0,0
122,4,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,1,0,0
123,5,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
126,3,0,0,0,0,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,0,0,0,0,18,52,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,108,13,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,54,6,3,0,0,0,0,0,0,0,0,0,0,0,0
131,3,0,0,0,0,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0
132,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0
134,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0
135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0
140,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
147,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0
148,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,3,0
149,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,4,0
150,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0
151,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0
152,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
153,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
154,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
155,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,0,0,0,3,0
160,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0
161,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0
165,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
166,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
167,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
168,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
169,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
170,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
171,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
172,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,1,0
173,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
178,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
181,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0
182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0
183,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
184,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,1,0,0
185,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
186,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
187,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,7,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,9
190,6,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,22
191,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,37,0,0,42
192,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,43,0,0,24
